Date,Open,High,Low,Price,Vol,Change,BBL_200_2,BBM_200_2,BBU_200_2,EMA_100,EMA_200,EMA_50,Price_EMA50_Ratio,RSI_14,Return_20,Return_60,V_Roll_MEAN_20,V_Roll_MEAN_60
2017-11-07,6959.30000,7222.40000,6957.80000,7102.80000,101050.00000,0.02060,520.68400,3429.25500,6337.82600,4760.49322,3761.46832,5576.12804,1.27379,69.39857,0.27386,0.64170,119266.50000,114294.83333
2017-11-08,7102.20000,7869.10000,7027.00000,7444.40000,220220.00000,0.04810,513.64956,3460.27250,6406.89544,4813.63989,3798.11441,5649.39361,1.31773,73.21268,0.30636,0.71724,126124.50000,116680.33333
2017-11-09,7444.40000,7457.10000,7040.80000,7129.60000,126770.00000,-0.04230,514.67545,3489.67500,6464.67455,4859.50049,3831.26352,5707.44091,1.24918,65.15351,0.18963,0.67917,126270.00000,116991.83333
2017-11-10,7129.60000,7319.00000,6406.00000,6565.80000,222000.00000,-0.07910,526.85480,3516.26300,6505.67120,4893.28860,3858.47284,5741.10206,1.14365,53.74309,0.09310,0.55665,131723.00000,119212.50000
2017-11-11,6565.80000,6821.50000,6197.90000,6339.90000,135720.00000,-0.03440,542.97180,3541.64100,6540.31020,4921.93437,3883.16366,5764.58433,1.09980,49.96715,0.05967,0.52442,133257.50000,119690.50000
2017-11-12,6339.90000,6490.50000,5493.60000,5878.10000,269830.00000,-0.07280,565.03430,3564.59850,6564.16270,4940.86834,3903.01377,5769.03592,1.01891,43.27373,-0.00432,0.51877,139892.00000,121078.66667
2017-11-13,5878.10000,6760.10000,5828.30000,6522.50000,178340.00000,0.10960,578.89143,3590.54650,6602.20157,4972.18778,3929.07831,5798.58353,1.12484,52.77938,0.18309,1.01119,141622.00000,118757.83333
2017-11-14,6522.50000,6728.60000,6419.20000,6597.10000,96500.00000,0.01140,592.67480,3616.88400,6641.09320,5004.36426,3955.62579,5829.89790,1.13160,53.74569,0.15052,0.77637,141155.00000,112890.33333
2017-11-15,6597.10000,7330.10000,6596.90000,7283.20000,131120.00000,0.10400,595.86107,3646.61850,6697.37593,5049.48972,3988.73598,5886.89014,1.23719,61.54076,0.23704,0.96902,143027.00000,112253.00000
2017-11-16,7283.00000,7964.60000,7119.20000,7853.70000,133940.00000,0.07830,588.56612,3679.12750,6769.68888,5105.01864,4027.19333,5964.01994,1.31685,66.58365,0.36240,1.12860,145527.50000,112884.16667
2017-11-17,7853.70000,8000.20000,7534.70000,7700.00000,117350.00000,-0.01960,585.08601,3710.54850,6836.01099,5156.40441,4063.73867,6032.09759,1.27650,64.14340,0.34460,0.87791,148733.50000,112374.50000
2017-11-18,7700.00000,7857.50000,7458.90000,7780.90000,74380.00000,0.01050,581.00773,3742.22350,6903.43927,5208.37462,4100.72535,6100.67808,1.27542,64.87314,0.26570,0.99102,144299.50000,111560.50000
2017-11-19,7781.00000,8100.90000,7675.40000,8042.60000,68620.00000,0.03360,572.35281,3775.00850,6977.66419,5264.49789,4139.94799,6176.83188,1.30206,67.19870,0.31323,1.07166,143799.50000,111260.00000
2017-11-20,8042.60000,8294.10000,7947.30000,8244.70000,75700.00000,0.02510,560.56399,3808.64800,7056.73201,5323.51179,4180.79129,6257.92475,1.31748,68.91048,0.27801,1.27924,142522.00000,110102.83333
2017-11-21,8245.90000,8368.40000,7819.10000,8100.00000,115450.00000,-0.01760,554.03542,3841.60900,7129.18258,5378.49176,4219.78839,6330.16299,1.27959,66.24487,0.20217,1.24950,141635.00000,110115.00000
2017-11-22,8099.90000,8304.40000,8091.60000,8234.50000,65810.00000,0.01660,545.76759,3875.05500,7204.34241,5435.04638,4259.73577,6404.84287,1.28567,67.50319,0.17220,1.17384,132985.50000,110081.50000
2017-11-23,8234.50000,8266.50000,8012.40000,8013.40000,68010.00000,-0.02690,543.60329,3907.35000,7271.09671,5486.10289,4297.08566,6467.92355,1.23894,63.32419,0.12043,1.18498,128641.50000,110387.33333
2017-11-24,8013.40000,8332.90000,7900.20000,8200.80000,73000.00000,0.02340,537.29931,3940.03150,7342.76369,5539.85926,4335.92859,6535.87949,1.25474,65.28583,0.11366,1.08523,126961.50000,109934.00000
2017-11-25,8203.50000,8762.00000,8153.70000,8754.70000,84670.00000,0.06750,520.37211,3975.31750,7430.26289,5603.51948,4379.89647,6622.89205,1.32188,70.33611,0.18475,1.24900,125908.50000,110291.00000
2017-11-26,8754.60000,9474.60000,8746.60000,9318.40000,85890.00000,0.06440,491.35051,4013.14800,7534.94549,5677.08147,4429.03581,6728.59825,1.38489,74.41542,0.33900,1.21224,122218.50000,109762.50000
2017-11-27,9318.40000,9733.60000,9316.80000,9733.20000,106900.00000,0.04450,453.42381,4052.71750,7652.01119,5757.40065,4481.81356,6846.42577,1.42165,76.92957,0.37033,1.31986,122511.00000,110007.00000
2017-11-28,9732.60000,9969.60000,9638.20000,9906.00000,87760.00000,0.01780,416.67149,4093.81550,7770.95951,5839.55113,4535.78556,6966.40907,1.42197,77.90371,0.33066,1.37395,115888.00000,109839.66667
2017-11-29,9906.00000,11417.80000,8938.70000,9837.90000,233330.00000,-0.00690,383.69718,4134.18650,7884.67582,5918.72635,4588.54292,7079.01656,1.38973,76.53220,0.37987,1.25609,121216.00000,112603.66667
2017-11-30,9848.00000,10689.10000,9023.80000,9946.80000,187010.00000,0.01110,350.96596,4175.05750,7999.14904,5998.49019,4641.85891,7191.47865,1.38314,77.22277,0.51494,1.25904,119466.50000,114710.83333
2017-12-01,9947.10000,10942.80000,9420.90000,10861.50000,131920.00000,0.09200,298.08794,4220.82050,8143.55306,6094.78741,4703.74589,7335.40106,1.48070,82.01101,0.71320,1.46779,119276.50000,115722.83333
2017-12-02,10861.50000,11175.20000,10715.50000,10912.70000,86830.00000,0.00470,247.92315,4266.73750,8285.55185,6190.19162,4765.52653,7475.68729,1.45976,82.23612,0.85650,1.52948,110126.50000,115805.50000
2017-12-03,10912.70000,11851.10000,10578.40000,11246.20000,122130.00000,0.03060,191.50661,4313.96200,8436.41739,6290.31060,4830.01084,7623.55054,1.47519,83.66959,0.72422,1.66580,107316.00000,116773.00000
2017-12-04,11244.20000,11624.60000,10917.80000,11623.90000,93170.00000,0.03360,127.64830,4362.67650,8597.70470,6395.92623,4897.61173,7780.42699,1.49399,85.13283,0.76197,1.68985,107149.50000,117265.66667
2017-12-05,11624.40000,11901.90000,11486.10000,11667.10000,89690.00000,0.00370,66.33468,4411.20200,8756.06932,6500.30591,4964.96982,7932.84554,1.47073,85.29513,0.60192,1.66866,105078.00000,117732.33333
2017-12-06,11667.10000,13843.20000,11661.80000,13749.60000,191580.00000,0.17850,-57.48432,4469.74900,8996.98232,6643.85629,5052.37907,8160.95355,1.68480,90.61416,0.75072,2.09969,107960.00000,120255.33333
2017-12-07,13750.10000,16879.30000,13401.60000,16850.30000,297110.00000,0.22550,-295.82943,4543.77950,9383.38843,6845.96408,5169.77132,8501.71224,1.98199,94.05961,1.18835,2.65382,116948.00000,124017.66667
2017-12-08,16868.00000,17294.80000,13906.10000,16047.60000,286760.00000,-0.04760,-478.96337,4613.39550,9705.75437,7028.17470,5278.00842,8797.62941,1.82408,85.32712,1.06243,2.35900,127567.00000,126960.50000
2017-12-09,16048.20000,16313.20000,13151.50000,14843.40000,181980.00000,-0.07500,-605.77565,4676.24950,9958.27465,7182.93163,5373.18645,9034.71845,1.64293,74.19809,0.84560,2.11614,133235.00000,128352.00000
2017-12-10,14840.00000,15783.20000,13031.00000,15059.60000,201620.00000,0.01460,-732.48074,4739.32100,10211.12274,7338.90526,5469.56867,9270.98831,1.62438,74.83276,0.82658,2.12168,139531.00000,130537.66667
2017-12-11,15060.50000,17399.20000,15024.60000,16732.50000,159730.00000,0.11110,-905.03988,4811.44750,10527.93488,7524.91704,5581.63764,9563.59661,1.74960,79.11384,1.06574,2.08002,141745.00000,130467.83333
2017-12-12,16733.30000,17560.70000,16254.50000,17083.90000,132850.00000,0.02100,-1075.62639,4885.64250,10846.91139,7714.20383,5696.08801,9858.51047,1.73291,79.88776,1.07467,2.03051,145097.00000,129098.33333
2017-12-13,17083.90000,17268.00000,15669.90000,16286.80000,155410.00000,-0.04670,-1204.00100,4956.81450,11117.63000,7883.95821,5801.46823,10110.60026,1.61086,73.25675,1.03245,1.79616,149467.00000,130418.16667
2017-12-14,16286.80000,16941.10000,16023.60000,16467.90000,107920.00000,0.01110,-1330.41858,5028.20900,11386.83658,8053.93726,5907.60188,10359.90613,1.58958,73.78907,1.00808,1.89515,151213.00000,130522.83333
2017-12-15,16467.90000,17987.00000,16442.20000,17604.80000,153650.00000,0.06900,-1484.60533,5104.84200,11694.28933,8243.06325,6023.99191,10644.01962,1.65396,76.89790,1.01090,2.05676,154662.00000,132061.00000
2017-12-16,17594.10000,19587.70000,17318.50000,19345.50000,112170.00000,0.09890,-1685.27146,5190.60650,12066.48446,8462.91348,6156.54423,10985.25414,1.76104,80.67691,1.07605,2.45542,155976.00000,132836.50000
2017-12-17,19346.60000,19870.60000,18750.90000,19065.70000,117410.00000,-0.01450,-1862.33381,5274.41850,12411.17081,8672.86965,6284.99354,11302.13437,1.68691,78.45536,0.95883,2.41937,156501.50000,132759.66667
2017-12-18,19065.70000,19221.10000,18114.40000,18972.30000,139250.00000,-0.00490,-2024.83218,5357.21700,12739.26618,8876.81877,6411.23540,11602.92518,1.63513,77.68634,0.91523,2.32929,159076.00000,133696.16667
2017-12-19,18971.20000,19022.00000,16812.80000,17523.70000,174540.00000,-0.07640,-2135.21644,5432.37250,12999.96144,9048.04414,6521.80719,11835.11243,1.48065,66.75692,0.78124,1.92398,156136.50000,134540.83333
2017-12-20,17521.70000,17813.60000,15642.70000,16462.00000,227680.00000,-0.06060,-2212.66676,5501.95550,13216.57776,9194.85515,6620.71458,12016.55900,1.36994,60.08492,0.65500,1.74065,158170.00000,136453.16667
2017-12-21,16461.10000,17301.80000,14953.00000,15632.10000,163740.00000,-0.05040,-2266.61317,5567.49550,13401.60417,9322.32534,6710.38010,12158.34492,1.28571,55.42207,0.43922,1.61280,159761.00000,137431.66667
2017-12-22,15632.10000,15823.70000,10875.70000,13665.00000,466980.00000,-0.12580,-2283.95270,5622.29550,13528.54370,9408.31890,6779.58030,12217.42943,1.11848,46.25854,0.25221,1.31469,178768.50000,142929.00000
2017-12-23,13665.00000,15493.20000,13356.10000,14396.50000,170170.00000,0.05350,-2312.80628,5679.92550,13672.65728,9507.09476,6855.37055,12302.88318,1.17017,49.59601,0.28012,1.61133,181170.50000,143369.50000
2017-12-24,14396.60000,14413.70000,12166.50000,13790.00000,182420.00000,-0.04210,-2327.35424,5735.41800,13798.19024,9591.90477,6924.37184,12361.20149,1.11559,46.99035,0.18635,1.40495,185633.00000,144645.83333
2017-12-25,13790.00000,14467.40000,13010.70000,13833.50000,107480.00000,0.00320,-2341.76510,5790.59150,13922.94810,9675.89675,6993.11938,12418.93868,1.11390,47.20460,0.18568,1.34960,186522.50000,144875.83333
2017-12-26,13830.20000,16094.70000,13748.50000,15756.60000,143140.00000,0.13900,-2386.48939,5855.31750,14097.12439,9796.30672,7080.31819,12549.82736,1.25552,55.72420,0.14597,1.73334,184100.50000,145862.66667
2017-12-27,15757.00000,16514.60000,14534.70000,15416.60000,138710.00000,-0.02160,-2422.69061,5917.89900,14258.48861,9907.59965,7163.26627,12662.24982,1.21752,54.06314,-0.08508,1.69210,176180.50000,147287.33333
2017-12-28,15416.30000,15505.50000,13466.10000,14398.70000,170370.00000,-0.06600,-2440.28551,5975.02550,14390.33651,9996.53233,7235.26063,12730.34590,1.13105,49.32288,-0.10275,1.34220,170361.00000,147409.16667
2017-12-29,14398.50000,15109.80000,13951.10000,14392.60000,118880.00000,-0.00040,-2451.61137,6033.70450,14519.02037,10083.58318,7306.47794,12795.53234,1.12481,49.29499,-0.03037,1.35008,167206.00000,148080.16667
2017-12-30,14392.10000,14461.50000,11962.10000,12531.50000,182070.00000,-0.12930,-2438.63659,6082.79700,14604.23059,10132.05678,7358.46821,12785.17813,0.98016,41.57044,-0.16787,0.94251,166228.50000,149427.16667
2017-12-31,12532.40000,14241.80000,12359.40000,13850.40000,111270.00000,0.10520,-2436.25098,6139.71250,14715.67598,10205.68734,7423.06455,12826.95154,1.07979,47.81167,-0.17225,1.05563,163805.50000,149061.83333
2018-01-01,13850.50000,13921.50000,12877.70000,13444.90000,78430.00000,-0.02930,-2426.70068,6194.72450,14816.14968,10269.83016,7482.98331,12851.18481,1.04620,46.17847,-0.21301,0.91392,161084.50000,146389.00000
2018-01-02,13444.90000,15306.10000,12934.20000,14754.10000,137730.00000,0.09740,-2433.55229,6255.95200,14945.45629,10358.62759,7555.33273,12925.80894,1.14145,51.89223,-0.09411,1.06290,160200.50000,146103.00000
2018-01-03,14754.10000,15435.00000,14579.70000,15156.60000,106540.00000,0.02730,-2446.06924,6318.45950,15082.98824,10453.63694,7630.96723,13013.29094,1.16470,53.52575,-0.07963,1.05826,160131.50000,146102.00000
2018-01-04,15156.50000,15408.70000,14244.70000,15180.10000,110970.00000,0.00150,-2454.96426,6381.66200,15218.28826,10547.23027,7706.08298,13098.26384,1.15894,53.62476,-0.13773,1.05428,157997.50000,146189.33333
2018-01-05,15180.10000,17126.90000,14832.40000,16954.80000,141960.00000,0.11690,-2491.91194,6453.35200,15398.61594,10674.11284,7798.11001,13249.50055,1.27966,60.47334,-0.12358,1.43631,159487.00000,145893.83333
2018-01-06,16954.80000,17252.80000,16286.60000,17172.30000,83930.00000,0.01280,-2531.11587,6525.44150,15581.99887,10802.78981,7891.38553,13403.33583,1.28120,61.22902,-0.09931,1.41768,157813.00000,145608.50000
2018-01-07,17174.50000,17184.80000,15791.10000,16228.20000,79010.00000,-0.05500,-2549.54154,6593.19450,15735.93054,10910.22368,7974.33891,13514.11481,1.20083,56.20588,-0.14464,1.17992,154801.00000,143255.00000
2018-01-08,16228.30000,16302.90000,13902.30000,14976.20000,142450.00000,-0.07710,-2547.73956,6654.46150,15856.66256,10990.73806,8044.00917,13571.45149,1.10351,50.31128,-0.14537,1.10057,153196.50000,143516.33333
2018-01-09,14976.20000,15324.60000,14613.40000,14778.50000,71400.00000,-0.01320,-2541.26779,6714.80200,15970.87179,11065.74325,8111.01903,13618.78672,1.08516,49.42973,-0.10227,1.25083,145382.50000,141006.33333
2018-01-10,14778.50000,15045.40000,13613.10000,15043.00000,87070.00000,0.01790,-2534.55177,6777.06650,16088.68477,11144.50081,8179.99397,13674.63822,1.10007,50.67497,-0.03769,1.37275,141549.00000,140195.50000
2018-01-11,15046.70000,15109.10000,13048.30000,13535.40000,167810.00000,-0.10020,-2508.67467,6832.03550,16172.74567,11191.84534,8233.28159,13669.17790,0.99021,44.02124,-0.00948,1.30268,126590.50000,138495.16667
