Date,Open,High,Low,Price,Vol,Change,BBB_20_2,BBL_20_2,BBM_20_2,BBP_20_2,BBU_20_2,EMA_20,EMA_200,EMA_50,RSI_14,Return_1,Return_5,V_Roll_MEAN_20
2018-05-09,9194.90000,9377.90000,8988.00000,9319.10000,147890.00000,0.01330,13.69405,8641.88989,9277.09500,0.53306,9912.30011,9153.74510,8816.52708,8859.19269,54.79421,0.01334,-0.04012,191293.50000
2018-05-10,9319.20000,9393.30000,9013.40000,9025.70000,152710.00000,-0.03150,13.31722,8666.77602,9285.03000,0.29027,9903.28398,9141.55033,8818.60841,8865.72239,50.27648,-0.03148,-0.08401,187631.00000
2018-05-11,9026.00000,9028.70000,8359.60000,8408.30000,270620.00000,-0.06840,15.38182,8547.16625,9259.29000,-0.09750,9971.41375,9071.71696,8814.52574,8847.78425,42.36151,-0.06840,-0.12925,190861.50000
2018-05-12,8409.60000,8646.10000,8184.10000,8459.50000,210870.00000,0.00610,16.66291,8471.94297,9241.93000,-0.00808,10011.91703,9013.41059,8810.99314,8832.55742,43.16065,0.00609,-0.10307,193310.50000
2018-05-13,8489.10000,8758.40000,8330.00000,8693.50000,149800.00000,0.02770,17.27762,8431.69245,9228.96500,0.16419,10026.23755,8982.94291,8809.82406,8827.10419,46.79159,0.02766,-0.05468,193423.50000
2018-05-14,8693.40000,8878.30000,8305.10000,8674.10000,212050.00000,-0.00220,17.60615,8372.24704,9180.40500,0.18675,9988.56296,8953.52930,8808.47357,8821.10402,46.52623,-0.00223,-0.06921,190986.50000
2018-05-15,8674.00000,8842.10000,8436.50000,8477.00000,179620.00000,-0.02270,18.67448,8305.25283,9160.60000,0.10040,10015.94717,8908.14556,8805.17532,8807.60975,43.80795,-0.02272,-0.06079,180184.00000
2018-05-16,8477.00000,8496.40000,8120.10000,8344.40000,188030.00000,-0.01560,20.26579,8190.01186,9113.47000,0.08359,10036.92814,8854.45550,8800.59049,8789.44466,42.02891,-0.01564,-0.00760,177166.00000
2018-05-17,8344.60000,8458.70000,8022.30000,8063.00000,154360.00000,-0.03370,22.70162,8040.10465,9069.57500,0.01112,10099.04535,8779.07879,8793.25129,8760.95664,38.45947,-0.03372,-0.04687,175638.50000
2018-05-18,8064.40000,8273.60000,7939.80000,8245.70000,150320.00000,0.02270,23.97151,7933.81538,9014.24000,0.14433,10094.66462,8728.28081,8787.80301,8740.75049,41.90900,0.02266,-0.05151,173165.50000
2018-05-19,8244.70000,8389.10000,8153.20000,8245.10000,107890.00000,-0.00010,24.86597,7842.27429,8955.74000,0.18089,10069.20571,8682.26359,8782.40298,8721.31322,41.90070,-0.00007,-0.04946,169324.00000
2018-05-20,8243.90000,8580.40000,8184.70000,8529.00000,113760.00000,0.03440,25.11182,7799.95578,8919.93500,0.32547,10039.91422,8667.66706,8779.88156,8713.77152,47.23029,0.03443,0.00613,167170.50000
2018-05-21,8529.50000,8550.60000,8375.50000,8403.30000,115520.00000,-0.01470,25.64569,7746.87156,8886.35500,0.28804,10025.83844,8642.48924,8776.13448,8701.59617,45.25102,-0.01474,0.00706,164279.00000
2018-05-22,8403.80000,8414.50000,7979.30000,8006.00000,137510.00000,-0.04730,26.93754,7635.94412,8824.49500,0.15568,10013.04588,8581.87122,8768.47145,8674.31789,39.60202,-0.04728,-0.00707,164280.50000
2018-05-23,8005.70000,8047.40000,7467.60000,7512.30000,237600.00000,-0.06170,28.44744,7473.36559,8712.62500,0.01571,9951.88441,8480.00729,8755.97223,8628.74856,33.93316,-0.06167,-0.08894,166101.50000
2018-05-24,7512.30000,7736.60000,7293.40000,7592.90000,211110.00000,0.01070,28.86826,7364.51734,8606.84000,0.09192,9849.16266,8395.52088,8744.39938,8588.12705,35.55506,0.01073,-0.07910,168579.50000
2018-05-25,7593.90000,7653.40000,7355.60000,7477.70000,161820.00000,-0.01520,28.18734,7291.77222,8488.05000,0.07771,9684.32778,8308.10937,8731.79540,8544.58089,34.26046,-0.01517,-0.12326,168748.00000
2018-05-26,7478.50000,7619.30000,7331.50000,7361.30000,103070.00000,-0.01560,27.84793,7207.40030,8373.29500,0.06600,9539.18970,8217.93705,8718.15863,8498.17772,32.95477,-0.01557,-0.12400,166354.00000
2018-05-27,7361.90000,7411.80000,7267.50000,7366.70000,103290.00000,0.00070,27.52390,7131.92999,8270.05000,0.10314,9408.17001,8136.86686,8704.71128,8453.80604,33.08219,0.00073,-0.07985,163264.50000
2018-05-28,7367.30000,7446.90000,7090.60000,7119.30000,152290.00000,-0.03360,28.40763,7006.28382,8166.19500,0.04872,9326.10618,8039.95573,8688.93604,8401.47247,30.24619,-0.03358,-0.05231,163006.50000
2018-05-29,7119.30000,7533.00000,7069.80000,7467.70000,186970.00000,0.04890,26.48242,7004.57954,8073.62500,0.21660,9142.67046,7985.45518,8676.78444,8364.85394,38.27147,0.04894,-0.01649,164960.50000
2018-05-30,7469.20000,7565.20000,7306.80000,7400.10000,140370.00000,-0.00910,25.34557,6979.49246,7992.34500,0.20764,9005.19754,7929.70707,8664.08111,8327.02046,37.37300,-0.00905,-0.01038,164343.50000
2018-05-31,7400.80000,7611.90000,7355.00000,7502.60000,144520.00000,0.01390,25.55406,6931.66172,7947.06000,0.28114,8962.45828,7889.03020,8652.52409,8294.69024,39.68515,0.01385,0.01919,158038.50000
2018-06-01,7502.50000,7610.40000,7375.80000,7530.80000,135920.00000,0.00380,25.37191,6898.35540,7900.62500,0.31551,8902.89460,7854.91304,8641.36265,8264.73376,40.33777,0.00376,0.02228,154291.00000
2018-06-02,7530.80000,7694.50000,7467.90000,7646.60000,121180.00000,0.01540,23.91577,6909.79188,7848.28000,0.39255,8786.76812,7835.07371,8631.46452,8240.49322,43.06224,0.01538,0.07407,152860.00000
2018-06-03,7646.60000,7775.00000,7611.30000,7729.30000,116680.00000,0.01080,22.02849,6941.81419,7801.04000,0.45825,8660.26581,7825.00002,8622.48776,8220.44643,44.99410,0.01082,0.03503,148091.50000
2018-06-04,7729.30000,7759.90000,7468.40000,7504.30000,141010.00000,-0.02910,20.87976,6943.06325,7752.40500,0.34672,8561.74675,7794.45716,8611.36151,8192.36225,40.92563,-0.02911,0.01408,146161.00000
2018-06-05,7507.40000,7672.60000,7391.00000,7631.50000,145230.00000,0.01690,19.78558,6953.35722,7716.76000,0.44416,8480.16278,7778.93743,8601.61165,8170.36766,44.00804,0.01695,0.01718,144021.00000
2018-06-06,7631.50000,7699.10000,7504.40000,7661.00000,130660.00000,0.00390,19.40761,6949.79109,7696.66000,0.47613,8443.52891,7767.70529,8592.25233,8150.39245,44.72834,0.00387,0.01729,142836.00000
2018-06-07,7661.00000,7754.70000,7657.70000,7697.80000,124000.00000,0.00480,18.33873,6966.04206,7669.26500,0.52029,8372.48794,7761.04765,8583.35230,8132.64373,45.66733,0.00480,0.00670,141520.00000
2018-06-08,7697.90000,7710.50000,7556.90000,7622.10000,112880.00000,-0.00980,17.06555,6986.37201,7638.11500,0.48771,8289.85799,7747.81454,8573.78760,8112.62241,44.01098,-0.00983,-0.01387,141769.50000
2018-06-09,7622.10000,7689.00000,7493.30000,7515.80000,97560.00000,-0.01400,13.40857,7078.77027,7587.45500,0.42957,8096.13973,7725.71792,8563.26036,8089.21761,41.72255,-0.01395,0.00153,140959.50000
2018-06-10,7515.80000,7516.30000,6668.10000,6775.10000,275690.00000,-0.09850,12.80947,7025.30253,7506.04500,-0.26023,7986.78747,7635.18288,8545.46772,8037.68358,30.01223,-0.09855,-0.11222,148968.00000
2018-06-11,6775.20000,6910.80000,6657.20000,6885.90000,174880.00000,0.01640,13.30118,6954.56846,7450.04000,-0.06930,7945.51154,7563.82260,8528.95461,7992.51560,33.03982,0.01635,-0.10117,150836.50000
2018-06-12,6885.90000,6887.20000,6476.00000,6558.20000,178260.00000,-0.04760,16.97419,6774.09187,7402.33500,-0.17182,8030.57813,7468.04902,8509.34511,7936.26793,29.03877,-0.04759,-0.14804,147869.50000
2018-06-13,6558.50000,6624.60000,6129.10000,6312.30000,237480.00000,-0.03750,21.26290,6558.13686,7338.30500,-0.15755,8118.47314,7357.97769,8487.48397,7872.58291,26.45035,-0.03750,-0.17184,149188.00000
2018-06-14,6312.30000,6711.50000,6283.60000,6647.10000,201540.00000,0.05300,22.82445,6464.05053,7296.77500,0.10991,8129.49947,7290.27505,8469.17169,7824.52476,34.95198,0.05304,-0.11558,151174.00000
2018-06-15,6647.30000,6655.80000,6395.70000,6410.30000,143530.00000,-0.03560,25.29673,6332.31665,7249.22500,0.04253,8166.13335,7206.46790,8448.68540,7769.06496,32.12366,-0.03562,-0.05384,153197.00000
2018-06-16,6410.00000,6564.20000,6358.00000,6505.80000,108790.00000,0.01490,26.92399,6236.08438,7206.18000,0.13901,8176.27562,7139.73762,8429.35321,7719.52516,34.42818,0.01490,-0.05520,153472.00000
2018-06-17,6505.80000,6593.00000,6452.10000,6460.30000,90670.00000,-0.00700,28.52233,6150.24395,7173.23000,0.15154,8196.21605,7075.02928,8409.76064,7670.14378,33.83870,-0.00699,-0.01493,150391.00000
2018-06-18,6460.50000,6794.50000,6410.90000,6719.80000,135700.00000,0.04020,28.91982,6103.99967,7135.83500,0.29840,8167.67033,7041.19792,8392.94511,7632.87540,40.13436,0.04017,0.06456,147827.50000
2018-06-19,6719.80000,6839.50000,6681.50000,6752.40000,120540.00000,0.00490,29.20464,6066.18134,7103.45000,0.33078,8140.71866,7013.69336,8376.62128,7598.34695,40.89526,0.00485,0.01584,146836.00000
2018-06-20,6752.30000,6812.70000,6575.10000,6765.40000,121480.00000,0.00190,29.15927,6036.30700,7066.59000,0.35383,8096.87300,6990.04637,8360.58923,7565.68237,41.21612,0.00193,0.05540,145684.00000
